x,Curve1,Curve2,Curve3
3.47405,-0.988539,1.68261,0.00831156
6.34567,-0.955343,1.66621,0.0329979
8.62383,-0.929007,1.65321,0.0525825
11.5926,-0.894688,1.63625,0.0781042
16.3328,-0.83989,1.56644,0.118854
18.6244,-0.813399,1.53269,0.1481
18.7799,-0.810582,1.5304,0.150084
31.3397,-0.583035,1.30549,0.310372
48.1703,-0.278114,1.01704,0.525165
48.7159,-0.268229,1.00769,0.52963
49.2884,-0.259045,0.997882,0.534316
62.6943,-0.0440044,0.802511,0.644036
70.8518,0.086847,0.683628,0.675475
72.4019,0.111713,0.665928,0.68145
78.0959,0.17913,0.600911,0.703395
87.947,0.295769,0.488426,0.721291
88.9575,0.307734,0.481236,0.723127
96.952,0.40239,0.424361,0.713915
103.42,0.453729,0.378344,0.706461
116.795,0.559883,0.283194,0.657367
116.92,0.560879,0.282679,0.656906
116.964,0.561113,0.282501,0.656747
146.735,0.722023,0.160369,0.494482
146.838,0.72258,0.159946,0.493873
147.487,0.725156,0.157285,0.490046
196.669,0.920456,0.0586728,0.199888
197.184,0.921998,0.0576417,0.196854
197.246,0.922187,0.0576243,0.196484
216.219,0.97908,0.0523545,0.15333
251.471,1.08479,0.0425632,0.110022
293.964,1.21221,0.0307606,0.0798681
294.477,1.21375,0.0306182,0.0797166
295.75,1.21694,0.0302645,0.0793402
397.039,1.47103,0.0226962,0.0494047
397.955,1.47333,0.0227177,0.0491338
399.505,1.47722,0.0227541,0.0490171
497.255,1.64489,0.0250498,0.0416557
497.427,1.6451,0.0250538,0.0416428
498.339,1.64624,0.0250146,0.0415741
594.2,1.76522,0.0208945,0.0307514
596.004,1.76746,0.020817,0.0306558
597.699,1.76956,0.020801,0.030566
670.167,1.81385,0.0201165,0.0267281
693.592,1.82816,0.0198952,0.0254875
693.678,1.82821,0.0198944,0.0254829
