x,Curve1,Curve2
0.489189,-0.000937099,-0.000829765
0.773901,-0.001578,-9.14163e-05
1.05929,-0.00212054,0.000648688
1.20486,-0.00213711,0.0010262
1.51327,-0.0021722,0.00192418
1.62634,-0.00210578,0.00225341
1.84504,-0.0019773,0.0030147
2.04952,-0.00157808,0.00372651
2.09624,-0.00148686,0.00390236
2.38873,-0.00069103,0.00500334
2.60134,-0.000112576,0.0058806
2.68631,0.000344155,0.00623122
3.02993,0.00219109,0.00814738
3.15891,0.00288438,0.00916345
3.20461,0.00333554,0.00952347
3.51235,0.00637339,0.0122267
3.60206,0.00725901,0.0128274
3.94534,0.0107154,0.015126
4.09023,0.0121744,0.0159539
4.33229,0.0145889,0.017337
4.44502,0.0157134,0.0176938
5.09231,0.0214059,0.0197427
5.1045,0.0215131,0.0197675
5.66309,0.0246576,0.0209049
6.05579,0.0261613,0.0217046
6.21457,0.0267693,0.0218913
6.59576,0.0281443,0.0223394
6.6804,0.0281627,0.0224389
7.50677,0.0283424,0.0224836
7.91945,0.0284321,0.0223053
8.0833,0.028208,0.0222345
8.53322,0.0275927,0.0219007
8.61752,0.0274691,0.0218382
9.10569,0.0267535,0.0212494
9.15004,0.0266701,0.0211959
10.0902,0.0249011,0.0197645
10.2066,0.0246819,0.0195718
11.9687,0.0205414,0.0166559
12.1576,0.0200975,0.0163829
13.0104,0.0179781,0.0151505
14.8429,0.0141812,0.0125023
14.8724,0.0141396,0.0124597
16.52,0.0118114,0.0104725
17.7808,0.0103711,0.00895202
19.6346,0.00825336,0.00739195
19.9572,0.00803756,0.00712045
24.3975,0.00506746,0.00414537
24.5272,0.00498073,0.00405849
